DETID,SRCID,OBS_ID,EP_8_FLUX,EP_8_FLUX_ERR,SC_RA,SC_DEC,SC_POSERR
104006401010030,204006401010030,XMM 0400640101,2.4834797e-11,4.4547707e-13,270.38455641966,-20.61122680604,1.9024048
101539502010011,201539502010011,XMM 0153950201,6.5862184e-11,1.0963414e-12,245.17371580669,-15.663165676089998,1.9010656
107226404010071,201130203010039,XMM 0722640401,1.3981486e-11,2.8777344e-13,125.56836636123205,-42.935586008174816,0.5334822
100935627010031,200935627010031,XMM 0093562701,3.1671298e-11,2.5760164e-12,255.64695023632,-48.698528822008,2.182225
101440901010012,201440901010012,XMM 0144090101,1.5165091e-11,2.9856857e-12,288.77346969294,10.850163492112998,3.3791013
106946401015095,201129717010003,XMM 0694640101,1.0306338e-11,1.9580151e-12,265.9931271024449,-29.729885881634225,2.1657178
107939802010041,201223308015035,XMM 0793980201,1.2648431e-11,2.870615e-12,83.68217374374203,22.110827812503185,0.58448094
104006401010029,204006401010029,XMM 0400640101,8.6227456e-11,7.377842e-13,270.38453175073,-20.599276154464,1.9069941
101119702010008,201119702010008,XMM 0111970201,1.3608966e-11,4.493818e-12,297.90050147245,77.755613564599,9.945758
107705802015001,203115909010001,XMM 0770580201,5.6014754e-10,1.1981694e-12,268.36747274146586,-1.45136034915703,1.3437707
105026704010007,205026704010007,XMM 0502670401,3.3932555e-11,3.0701177e-12,234.28970496459,-83.70583641618099,2.7455935
108018403010011,200962101010007,XMM 0801840301,2.7199059e-11,3.0129902e-13,6.296085287235788,64.1895883744391,0.5132615
100943813010001,200943813010001,XMM 0094381301,1.8262286e-11,3.93195e-13,8.968511924896,59.83412325377301,1.9023731
106111833010018,201223308010038,XMM 0611183301,2.167357e-11,3.4304567e-12,83.68974464524341,22.10840752338318,0.5376284
107005804010001,207005801010001,XMM 0700580401,5.981209e-11,2.1295566e-13,14.259088344038146,-72.43206136832288,0.23365459
106505102010001,201026404010001,XMM 0650510201,1.876997e-11,4.1459962e-14,23.46184944948957,30.660262704779967,0.20193516
105549203010001,202010902010001,XMM 0554920301,2.5734853e-11,9.974465e-14,31.56660618397584,-0.29144893139983447,0.10038863
108112129010010,208112129010010,XMM 0811212901,3.5213846e-11,7.0911105e-13,40.83506791107299,61.444467138518995,1.9756533
102059206010001,202059206010001,XMM 0205920601,9.726139e-11,3.8134334e-13,165.90664366156,-23.491571400251,1.9000976
108205304010001,207635002010001,XMM 0820530401,3.1139608e-11,4.736676e-14,65.0016069324799,-54.93788722440272,0.35627326
105601915010001,205601915010001,XMM 0560191501,4.7392614e-11,9.8611474e-14,75.2780659703197,45.27605401787329,0.49472126
101347221010001,201197003010001,XMM 0134722101,1.5217815e-10,1.2999199e-13,79.17244001702984,45.99760736790381,0.21554025
104141808010001,201251001010001,XMM 0414180801,1.8078974e-10,2.18921e-13,81.26144530816998,-69.6465062669259,0.1544214
108110230010033,201223308010008,XMM 0811023001,1.8462665e-11,3.0662155e-12,83.59791175942416,21.91684931582278,0.4537986
106111822010022,201537502010010,XMM 0611182201,1.3806878e-11,2.4438322e-12,83.61764212958964,22.232602473618652,0.62253666
108110230010015,201537502010010,XMM 0811023001,1.4272035e-11,1.8683555e-12,83.61764212958964,22.232602473618652,0.62253666
103127903010001,203127903010001,XMM 0312790301,7.0758716e-10,1.6296221e-11,83.62189793328,22.044571818324997,1.9356365
106111805010002,201609602015002,XMM 0611180501,6.903392e-11,2.1559785e-12,83.61837119889184,22.112984969987483,0.49093992
108110224010010,201223308015016,XMM 0811022401,3.992419e-11,3.6561075e-12,83.62324750891675,22.156639859047985,0.4133715
108110228010008,201223308015017,XMM 0811022801,8.546709e-11,1.1598848e-12,83.63517713324977,21.897564408236896,0.5107442
108110228010013,201223308010052,XMM 0811022801,1.2945883e-10,5.509245e-12,83.63204165612746,21.809208961055912,1.7736782
106111811010008,201223308015039,XMM 0611181101,1.5858058e-11,1.559823e-12,83.63788216512721,21.87012268574172,0.43111122
108110228010004,208110228010004,XMM 0811022801,5.6074936e-11,1.8493373e-12,83.67707510289,22.08925866986,1.9067508
106111812010018,201375508010024,XMM 0611181201,2.0633918e-11,2.3211728e-12,83.7339194356877,22.04413008876228,0.37700632
108110225010041,201223308015031,XMM 0811022501,2.3707196e-11,1.1442763e-12,83.73745487545531,21.969559508482387,0.33047724
106502211010006,201130203015008,XMM 0650221101,4.762862e-11,4.1290224e-13,125.66096649709297,-42.983024971262346,0.48688638
106502210010057,201130203015008,XMM 0650221001,3.1899136e-11,5.285088e-13,125.66096649709297,-42.983024971262346,0.48688638
101501502010009,201501502010009,XMM 0150150201,8.705827e-11,3.892031e-12,126.04146386119,-42.928840470589,2.067252
105103902010004,205103902010004,XMM 0510390201,1.816335e-11,4.4554158e-13,128.80994177949,-45.203136603855,2.1568396
100515901010001,200515902010001,XMM 0051590101,8.566431e-11,1.0632824e-13,140.64468998474916,-63.294816206224276,0.5673092
102058001010008,202058001010008,XMM 0205800101,1.8035323e-11,3.789266e-12,142.23812746249,-31.188114790534,3.3458908
105020610010037,205020610010037,XMM 0502061001,1.3584966e-11,3.3283936e-12,147.34053960542,0.43884526942106,2.039719
104002701010001,201010403010001,XMM 0400270101,5.6118703e-11,6.214406e-14,155.87736347177477,19.865155336513865,0.08444506
107825202010001,201010403010001,XMM 0782520201,5.1682193e-11,9.053769e-14,155.87736347177477,19.865155336513865,0.08444506
101457801010001,201125806010002,XMM 0145780101,1.1610156e-11,2.044213e-13,161.04343708903562,-59.71976884390888,0.17725591
108715902010001,200992801010001,XMM 0871590201,1.4320362e-09,9.785418e-13,166.113603675929,38.20882474698044,0.07603922
106588001010001,200992801010001,XMM 0658800101,2.5741562e-10,3.357255e-13,166.113603675929,38.20882474698044,0.07603922
101365409010001,201365409010001,XMM 0136540901,5.6824334e-10,8.8913864e-13,166.1139670769263,38.20894188238962,0.48297495
105543801010001,201112904010001,XMM 0554380101,1.350434e-11,3.018788e-14,169.7861571673314,21.32165437525828,0.08334582
106017804010001,206017804010001,XMM 0601780401,1.0135e-11,7.738958e-14,174.12237981752,21.596041398778002,0.40237907
105512802010001,205026901010001,XMM 0551280201,2.040056e-11,8.3710484e-14,178.82464311932486,23.40505194617706,0.105280556
106578401010001,201123101010001,XMM 0657840101,9.601906e-11,3.9387718e-13,182.63570504641007,39.40586514034975,0.04524697
102009201010001,201141201010001,XMM 0200920101,9.085463e-11,7.997382e-14,187.70516335577045,12.39186917976395,0.2307615
108235808010001,200463401010001,XMM 0823580801,3.2659434e-11,1.8977266e-13,192.20528750852483,-41.31097874709228,0.16357568
105047804010002,202059901010002,XMM 0504780401,1.5525844e-11,8.533077e-14,211.8716725163238,-27.017244070703704,0.24291505
106053912010036,206053912010036,XMM 0605391201,2.407097e-11,1.0927351e-11,212.54730493817,55.447870089911,20.0
103101901010001,201118502010001,XMM 0310190101,1.1118262e-10,1.4204248e-13,217.13587390201658,42.672526563387244,0.07076749
105026704010021,205026704010021,XMM 0502670401,4.2667227e-11,1.7447323e-11,233.92361110600004,-83.376485559636,5.928078
